Unnamed: 0,CO_GT,PT08_S1_CO,NMHC_GT,Nox_GT,PT08_S3_Nox,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T2,RH,AH,C6H6_GT
18.0,2.2,1095.2,-999.0,187.3,621.2,98.1,1730.1,984.2,25.8,97.5,47.575,11.5
19.0,1.2,1061.2,60.1,103.3,1178.2,88.1,1429.1,616.2,9.9,150.1,2.8279,4.6
20.0,1.2,1082.2,-999.0,144.3,697.2,76.1,1297.1,960.2,15.7,135.5,35.833,4.2
21.0,-999.0,1024.2,-999.0,-999.0,1175.2,-999.0,1417.1,682.2,13.6,127.9,3.0427,3.1
22.0,0.4,796.2,-999.0,29.3,1136.2,36.1,1385.1,555.2,20.7,101.3,36.457,2.6
23.0,4.6,1487.2,454.1,215.3,641.2,110.1,2133.1,1471.2,21.1,108.7,40.159,19.2
24.0,1.1,835.2,-999.0,148.3,989.2,56.1,1224.1,780.2,12.3,126.5,2.7892,5.4
25.0,4.3,1564.2,334.1,319.3,710.2,155.1,2029.1,1798.2,19.9,77.1,2.7403,20.1
26.0,0.7,912.2,-999.0,65.3,1224.2,77.1,1368.1,589.2,30.4,34.1,2.2696,6.2
27.0,4.1,1369.2,-999.0,707.3,558.2,187.1,1537.1,1608.2,15.5,82.7,2.2453,21.8
28.0,1.1,844.2,-999.0,122.3,1147.2,61.1,1129.1,518.2,22.1,64.5,2.6221,3.5
29.0,1.0,938.2,-999.0,118.3,829.2,80.1,1144.1,798.2,13.1,140.5,31.471,3.4
30.0,1.0,1024.2,-999.0,106.3,862.2,66.1,1240.1,544.2,16.3,143.9,39.613,2.7
31.0,-999.0,773.2,-999.0,-999.0,1065.2,-999.0,1321.1,597.2,21.3,106.7,4.084,2.4
32.0,-999.0,1052.2,-999.0,-999.0,675.2,-999.0,1581.1,987.2,25.1,95.3,44.716,9.4
33.0,6.0,1595.2,-999.0,1014.3,495.2,218.1,1822.1,2140.2,14.2,89.9,2.2582,33.4
34.0,1.0,867.2,-999.0,116.3,1088.2,100.1,826.1,465.2,7.3,95.7,1.561,2.1
35.0,0.6,889.2,-999.0,195.3,968.2,120.1,919.1,983.2,5.4,97.5,1.4092,4.9
36.0,-999.0,1415.2,-999.0,-999.0,767.2,-999.0,1795.1,1192.2,13.5,125.1,2.9746,13.2
37.0,-999.0,951.2,-999.0,-999.0,788.2,-999.0,1354.1,887.2,14.2,153.5,36.919,6.5
38.0,4.9,1372.2,-999.0,318.3,631.2,206.1,2183.1,1541.2,35.9,44.3,38.476,25.9
39.0,2.0,959.2,-999.0,421.3,797.2,191.1,864.1,1006.2,13.8,34.9,0.9145,7.4
40.0,1.7,1020.2,144.1,133.3,956.2,93.1,1426.1,911.2,12.7,101.7,2.3161,7.3
41.0,1.4,1147.2,-999.0,152.3,815.2,80.1,1687.1,1126.2,16.1,131.7,35.632,8.2
42.0,0.7,854.2,-999.0,-999.0,1106.2,-999.0,1224.1,400.2,24.4,85.9,38.818,1.7
43.0,2.3,1332.2,129.1,144.3,952.2,98.1,1614.1,1225.2,14.6,106.3,2.7184,8.6
44.0,-999.0,885.2,-999.0,-999.0,941.2,-999.0,1425.1,706.2,24.4,83.3,37.501,5.6
45.0,0.4,804.2,30.1,12.3,1826.2,19.1,1166.1,320.2,15.8,90.9,2.5189,0.7
46.0,-999.0,1324.2,-999.0,-999.0,846.2,-999.0,1658.1,1011.2,21.6,81.5,31.003,9.0
47.0,1.3,1031.2,-999.0,47.3,793.2,47.1,1640.1,737.2,32.6,78.9,57.046,6.5
48.0,0.6,778.2,-999.0,96.3,1330.2,63.1,890.1,510.2,10.3,87.3,1.7215,1.2
49.0,-999.0,1198.2,-999.0,-999.0,779.2,-999.0,2058.1,1213.2,20.7,98.1,35.344,17.0
50.0,1.0,976.2,-999.0,-999.0,842.2,-999.0,1545.1,1070.2,25.3,102.9,4.963,4.8
51.0,2.4,1091.2,-999.0,-999.0,699.2,-999.0,1586.1,923.2,29.7,55.1,33.787,11.7
52.0,1.3,936.2,-999.0,171.3,866.2,124.1,942.1,568.2,15.6,67.9,1.8871,3.5
53.0,1.2,984.2,-999.0,130.3,898.2,105.1,965.1,638.2,7.8,108.9,1.8259,3.1
54.0,4.3,1611.2,284.1,279.3,754.2,161.1,1915.1,1697.2,15.8,88.3,2.4358,19.2
55.0,1.8,1029.2,-999.0,262.3,771.2,182.1,897.1,1002.2,10.9,50.5,1.0753,6.5
56.0,1.4,993.2,93.1,77.3,1217.2,75.1,1238.1,516.2,17.1,62.9,1.9144,4.1
57.0,1.8,1158.2,-999.0,196.3,664.2,73.1,1509.1,1202.2,20.4,136.3,48.127,9.8
58.0,-999.0,1149.2,-999.0,114.3,667.2,118.1,1808.1,1135.2,29.2,77.9,46.252,13.2
59.0,-999.0,903.2,-999.0,-999.0,1073.2,-999.0,1375.1,523.2,19.9,70.9,2.5297,5.4
60.0,2.0,1163.2,-999.0,118.3,723.2,121.1,1814.1,888.2,37.9,53.9,52.276,11.7
61.0,-999.0,854.2,-999.0,17.3,1756.2,27.1,1304.1,396.2,16.2,111.9,30.559,0.8
62.0,2.2,1094.2,-999.0,130.3,965.2,99.1,1574.1,813.2,21.4,53.7,2.1043,10.7
63.0,4.8,1353.2,-999.0,601.3,599.2,173.1,1424.1,1293.2,5.6,168.3,2.3971,16.2
64.0,-999.0,766.2,-999.0,-999.0,1317.2,-999.0,810.1,404.2,8.6,89.7,1.594,0.7
65.0,1.0,866.2,-999.0,-999.0,909.2,-999.0,1328.1,827.2,17.3,143.5,4.282,4.1
66.0,-999.0,807.2,-999.0,-999.0,1113.2,-999.0,1328.1,428.2,32.5,52.7,37.669,3.1
67.0,3.6,1266.2,446.1,205.3,726.2,129.1,1747.1,1370.2,14.2,99.3,2.4793,14.6
68.0,1.4,960.2,-999.0,177.3,782.2,123.1,967.1,709.2,13.8,60.7,1.5172,6.9
69.0,3.4,1394.2,-999.0,266.3,555.2,190.1,2031.1,1834.2,34.1,59.9,46.942,19.9
70.0,4.1,1351.2,-999.0,712.3,1249.2,163.1,1623.1,1582.2,13.7,131.3,30.601,19.3
71.0,0.9,962.2,-999.0,37.3,862.2,38.1,1605.1,712.2,27.2,108.9,57.604,4.7
72.0,0.3,879.2,-999.0,167.3,980.2,107.1,914.1,564.2,4.6,102.1,1.3981,3.6
73.0,2.5,1112.2,-999.0,345.3,866.2,151.1,1499.1,1088.2,34.4,35.5,2.9248,15.4
74.0,2.3,1119.2,-999.0,311.3,624.2,68.1,1562.1,1099.2,17.1,152.3,43.846,12.2
75.0,2.8,1179.2,-999.0,172.3,654.2,-999.0,1877.1,1096.2,27.1,70.7,37.288,15.1
76.0,2.0,1199.2,-999.0,-999.0,671.2,-999.0,1873.1,1189.2,18.2,123.3,38.137,12.6
77.0,-999.0,1113.2,-999.0,117.3,682.2,99.1,1801.1,899.2,21.7,157.1,6.082,9.4
78.0,1.9,1069.2,-999.0,249.3,729.2,83.1,1364.1,998.2,19.2,118.5,3.985,7.9
79.0,-999.0,1115.2,-999.0,158.3,686.2,141.1,1722.1,1086.2,34.9,52.1,42.823,12.1
80.0,-999.0,1268.2,-999.0,-999.0,906.2,-999.0,1589.1,932.2,23.4,74.3,31.471,8.1
81.0,4.4,1432.2,-999.0,596.3,547.2,178.1,1396.1,1722.2,17.3,68.5,2.1007,18.4
82.0,2.3,1292.2,95.1,193.3,1103.2,131.1,1591.1,957.2,9.8,142.5,2.6707,8.3
83.0,2.5,1060.2,-999.0,122.3,742.2,98.1,1838.1,1077.2,22.6,90.7,36.778,13.4
84.0,0.6,847.2,-999.0,84.3,1085.2,58.1,1339.1,670.2,23.0,115.1,47.737,2.5
85.0,0.8,799.2,-999.0,48.3,1078.2,68.1,1332.1,462.2,35.3,41.1,34.354,4.0
86.0,2.0,1071.2,-999.0,339.3,739.2,107.1,1150.1,1193.2,8.7,141.1,2.4745,7.4
87.0,3.1,1102.2,-999.0,435.3,648.2,103.1,1594.1,1114.2,18.0,115.7,35.353,14.8
88.0,1.0,918.2,-999.0,87.3,936.2,78.1,1524.1,939.2,18.9,93.3,30.181,6.0
89.0,-999.0,924.2,-999.0,-999.0,960.2,-999.0,1522.1,520.2,35.1,71.1,5.986,3.3
90.0,3.5,1124.2,-999.0,265.3,765.2,153.1,1863.1,1132.2,31.2,37.5,2.5906,19.7
91.0,1.6,1019.2,-999.0,78.3,840.2,94.1,1428.1,759.2,37.0,34.5,31.828,8.3
92.0,1.7,1069.2,-999.0,92.3,785.2,65.1,1717.1,880.2,33.3,78.5,59.026,7.2
93.0,-999.0,886.2,-999.0,-999.0,868.2,-999.0,1486.1,815.2,21.0,114.9,42.211,5.2
94.0,1.4,1076.2,-999.0,195.3,721.2,134.1,1093.1,1107.2,12.0,106.9,2.3242,5.1
95.0,1.5,1012.2,-999.0,70.3,884.2,87.1,1435.1,700.2,41.2,26.3,30.472,7.2
96.0,0.6,795.2,-999.0,94.3,1258.2,79.1,840.1,682.2,2.7,117.3,1.4155,1.0
97.0,-999.0,785.2,-999.0,66.3,1306.2,57.1,760.1,387.2,6.0,83.7,1.2784,1.0
98.0,1.5,973.2,-999.0,149.3,850.2,81.1,1436.1,957.2,20.7,106.5,38.326,7.1
99.0,2.2,994.2,-999.0,279.3,793.2,174.1,997.1,836.2,4.8,94.5,1.3225,7.3
100.0,1.1,1104.2,-999.0,143.3,754.2,108.1,1001.1,1433.2,3.0,135.9,1.6549,4.0
101.0,0.6,888.2,-999.0,77.3,1077.2,53.1,987.1,578.2,10.5,119.9,2.365,1.3
102.0,2.6,1058.2,-999.0,210.3,764.2,121.1,986.1,1149.2,3.4,133.7,1.6645,4.8
103.0,6.8,1975.2,523.1,347.3,597.2,182.1,2416.1,2359.2,20.6,76.5,2.8399,35.1
104.0,3.1,990.2,-999.0,390.3,751.2,191.1,928.1,1131.2,9.8,41.3,0.8464,10.0
105.0,1.6,995.2,-999.0,111.3,856.2,116.1,1544.1,690.2,34.0,36.9,2.9761,9.5
106.0,0.8,880.2,-999.0,101.3,2095.2,59.1,1150.1,711.2,12.1,156.1,3.382,2.4
107.0,0.6,842.2,41.1,-999.0,1423.2,-999.0,1224.1,424.2,15.3,91.7,2.4592,1.5
108.0,0.7,787.2,-999.0,99.3,1317.2,60.1,1129.1,446.2,15.0,121.1,30.739,2.0
109.0,-999.0,1083.2,-999.0,-999.0,859.2,-999.0,1643.1,1004.2,22.0,74.5,3.0049,10.3
110.0,-999.0,925.2,-999.0,-999.0,826.2,-999.0,1482.1,739.2,23.6,116.7,50.116,4.7
111.0,-999.0,974.2,-999.0,97.3,838.2,97.1,1596.1,805.2,34.0,53.9,41.992,8.1
112.0,1.6,1040.2,-999.0,145.3,782.2,92.1,1494.1,951.2,23.1,111.7,4.744,8.1
113.0,2.9,1273.2,-999.0,582.3,553.2,222.1,1350.1,1379.2,12.9,98.7,2.2831,13.4
114.0,-999.0,978.2,-999.0,-999.0,852.2,-999.0,1422.1,694.2,38.6,36.1,36.265,6.6
115.0,1.6,1044.2,-999.0,280.3,710.2,150.1,1158.1,909.2,13.8,91.9,2.2462,6.7
116.0,4.0,1405.2,-999.0,605.3,500.2,136.1,1735.1,1534.2,19.3,115.9,38.371,19.0
117.0,1.5,926.2,-999.0,239.3,979.2,81.1,1398.1,851.2,20.3,106.3,37.426,6.7
118.0,1.1,865.2,-999.0,103.3,1102.2,83.1,791.1,434.2,3.0,98.1,1.2175,1.7
119.0,4.4,1313.2,-999.0,690.3,513.2,144.1,1469.1,1546.2,7.0,150.5,2.3515,16.9
120.0,1.7,988.2,-999.0,-999.0,845.2,-999.0,1341.1,799.2,27.2,53.9,2.9572,7.0
121.0,1.0,1009.2,-999.0,81.3,797.2,61.1,1738.1,1060.2,26.5,106.3,54.061,7.4
122.0,1.6,1122.2,-999.0,211.3,733.2,115.1,1225.1,960.2,13.5,122.1,2.9044,5.8
123.0,4.8,1468.2,-999.0,741.3,472.2,127.1,1783.1,1611.2,15.2,148.7,37.969,22.0
124.0,2.8,1320.2,271.1,184.3,902.2,112.1,1721.1,991.2,8.8,149.3,2.6287,11.6
125.0,-999.0,1088.2,-999.0,-999.0,760.2,-999.0,1236.1,951.2,9.8,146.3,2.7316,6.6
126.0,1.9,1021.2,-999.0,234.3,766.2,130.1,1139.1,846.2,9.0,108.9,1.96,7.6
127.0,3.4,1308.2,388.1,163.3,793.2,106.1,1193.1,1187.2,23.7,55.1,2.4739,16.4
128.0,2.4,1145.2,-999.0,340.3,591.2,151.1,1376.1,1159.2,15.3,128.5,33.049,9.0
129.0,2.2,1081.2,-999.0,145.3,703.2,64.1,1546.1,1079.2,27.4,76.7,41.107,10.2
130.0,3.8,1451.2,-999.0,683.3,497.2,181.1,1408.1,1965.2,9.6,94.5,1.7767,18.8
131.0,2.1,1247.2,-999.0,323.3,581.2,174.1,1255.1,1184.2,26.8,45.3,2.4355,10.2
132.0,1.1,928.2,-999.0,119.3,926.2,86.1,902.1,456.2,28.8,27.5,1.6906,3.8
133.0,4.2,1281.2,-999.0,655.3,571.2,212.1,1195.1,1756.2,6.8,79.3,1.2718,15.6
134.0,0.7,857.2,-999.0,78.3,1140.2,54.1,1130.1,646.2,12.0,159.3,33.229,1.7
135.0,-999.0,1050.2,-999.0,-999.0,747.2,-999.0,1662.1,744.2,37.2,55.9,52.027,8.6
136.0,0.4,901.2,-999.0,-999.0,961.2,-999.0,944.1,965.2,4.3,107.3,1.4362,5.1
137.0,0.4,830.2,-999.0,30.3,1310.2,50.1,1264.1,608.2,20.1,69.1,2.4862,2.0
138.0,1.1,910.2,66.1,-999.0,1162.2,-999.0,1329.1,712.2,8.9,132.1,2.3503,4.0
139.0,2.6,918.2,-999.0,220.3,1007.2,105.1,1030.1,703.2,9.7,107.9,2.0275,4.5
140.0,1.5,882.2,-999.0,203.3,922.2,116.1,815.1,582.2,2.0,70.1,0.8482,5.0
141.0,-999.0,875.2,-999.0,-999.0,1027.2,-999.0,1436.1,809.2,19.5,146.9,49.351,4.0
142.0,2.0,1084.2,-999.0,148.3,734.2,116.1,1633.1,1284.2,25.1,76.7,3.694,10.3
143.0,6.5,1676.2,-999.0,866.3,444.2,170.1,1983.1,2096.2,15.7,129.9,34.288,30.7
144.0,1.3,1031.2,-999.0,147.3,950.2,96.1,1393.1,972.2,25.3,76.3,36.247,7.3
145.0,-999.0,1013.2,-999.0,-999.0,717.2,-999.0,1685.1,785.2,27.6,100.9,5.569,8.3
146.0,4.8,1421.2,-999.0,402.3,510.2,173.1,2056.1,1446.2,27.3,91.9,49.006,25.6
147.0,1.1,844.2,-999.0,71.3,1186.2,67.1,1445.1,556.2,26.4,63.1,32.029,4.9
148.0,0.5,937.2,-999.0,194.3,923.2,130.1,870.1,1010.2,2.2,120.7,1.4104,2.8
149.0,0.5,767.2,-999.0,30.3,1526.2,42.1,1287.1,377.2,20.6,93.7,33.556,1.2
150.0,2.1,980.2,-999.0,318.3,839.2,185.1,934.1,897.2,6.0,80.5,1.228,5.5
151.0,1.0,912.2,-999.0,61.3,991.2,84.1,1379.1,461.2,38.6,39.7,4.078,5.3
152.0,3.1,-999.0,-999.0,812.3,-999.0,235.1,-999.0,-999.0,-999.0,-1998.0,-2997.0,-999.0
153.0,2.6,1179.2,-999.0,352.3,634.2,97.1,1667.1,1119.2,22.0,115.3,44.926,14.1
154.0,3.0,1276.2,-999.0,274.3,642.2,171.1,2024.1,1784.2,34.3,61.5,48.856,18.0
155.0,3.8,891.2,-999.0,342.3,885.2,149.1,950.1,894.2,7.9,67.9,1.1782,7.6
156.0,2.3,1203.2,-999.0,223.3,593.2,74.1,1655.1,1205.2,21.4,137.1,51.592,13.2
157.0,3.0,1252.2,-999.0,193.3,557.2,107.1,1938.1,1352.2,28.2,94.9,53.359,15.6
158.0,0.6,809.2,-999.0,38.3,1093.2,55.1,1455.1,714.2,21.9,94.7,36.667,3.2
159.0,-999.0,946.2,-999.0,-999.0,816.2,-999.0,1377.1,827.2,18.5,103.3,32.596,8.0
160.0,0.8,805.2,-999.0,115.3,1176.2,63.1,1033.1,475.2,18.1,69.5,2.2267,2.7
161.0,3.8,1307.2,-999.0,508.3,554.2,175.1,1432.1,1224.2,19.7,95.7,32.443,12.4
162.0,4.2,1571.2,327.1,314.3,730.2,162.1,1973.1,1729.2,21.5,66.7,2.6251,20.0
163.0,3.5,1452.2,-999.0,619.3,428.2,226.1,1661.1,1695.2,13.9,87.3,2.1475,23.1
164.0,2.3,1328.2,-999.0,466.3,508.2,182.1,1404.1,1339.2,18.9,63.7,2.1559,14.2
165.0,5.7,1544.2,-999.0,975.3,416.2,309.1,1706.1,2030.2,2.2,124.5,1.4473,29.1
166.0,0.6,826.2,-999.0,-999.0,1250.2,-999.0,1204.1,385.2,24.1,91.1,40.312,1.0
167.0,4.1,1166.2,-999.0,236.3,646.2,139.1,2016.1,1291.2,27.5,67.3,36.385,20.3
168.0,2.9,1230.2,-999.0,450.3,761.2,98.1,1431.1,1197.2,11.8,137.9,2.9317,12.6
169.0,2.2,1153.2,-999.0,407.3,696.2,217.1,1027.1,1370.2,4.3,108.1,1.4449,6.9
170.0,1.3,1054.2,-999.0,183.3,766.2,123.1,1129.1,699.2,4.3,161.9,2.1226,5.5
171.0,3.8,1525.2,242.1,202.3,821.2,145.1,1847.1,1448.2,14.5,86.9,2.2252,18.2
172.0,0.2,1078.2,-999.0,130.3,855.2,82.1,1109.1,509.2,20.0,73.3,2.6218,3.3
173.0,3.3,1371.2,-999.0,219.3,545.2,119.1,2082.1,1745.2,28.6,65.1,37.423,23.2
174.0,1.2,971.2,-999.0,46.3,871.2,64.1,1447.1,875.2,24.4,76.3,34.294,5.5
175.0,3.3,1474.2,230.1,166.3,854.2,143.1,1776.1,1432.2,20.5,73.5,2.7112,15.8
176.0,-999.0,885.2,-999.0,-999.0,1081.2,-999.0,1031.1,612.2,10.5,129.7,2.5414,1.8
177.0,1.3,992.2,-999.0,266.3,900.2,169.1,1020.1,756.2,4.0,159.1,2.0446,3.7
178.0,-999.0,1531.2,-999.0,-999.0,451.2,-999.0,2181.1,1620.2,28.5,75.1,42.853,30.3
179.0,0.7,847.2,-999.0,30.3,1075.2,42.1,1442.1,529.2,25.2,110.7,5.299,2.5
180.0,0.7,944.2,-999.0,70.3,925.2,58.1,1002.1,598.2,13.9,102.5,2.5174,1.9
181.0,1.7,1011.2,-999.0,111.3,818.2,116.1,1565.1,748.2,25.4,61.9,3.0445,9.7
182.0,1.2,838.2,-999.0,167.3,1055.2,127.1,791.1,516.2,12.8,67.3,1.5706,1.9
183.0,3.3,1289.2,-999.0,542.3,724.2,130.1,1681.1,1521.2,21.1,71.3,2.7208,21.4
184.0,2.1,1242.2,-999.0,-999.0,626.2,-999.0,1219.1,1374.2,8.2,144.3,2.4394,8.5
185.0,1.3,911.2,-999.0,188.3,981.2,135.1,790.1,558.2,11.2,47.1,1.0315,3.5
186.0,0.8,961.2,-999.0,104.3,1011.2,69.1,1114.1,682.2,12.4,125.5,2.7841,2.6
187.0,-999.0,856.2,-999.0,-999.0,1061.2,-999.0,1375.1,788.2,23.6,105.3,45.205,3.2
188.0,1.3,871.2,-999.0,100.3,1139.2,83.1,1208.1,579.2,22.9,32.3,1.4212,6.8
189.0,2.4,1279.2,-999.0,250.3,599.2,112.1,1906.1,1518.2,23.0,86.1,35.578,16.6
190.0,1.5,1002.2,104.1,70.3,1189.2,65.1,1260.1,470.2,18.1,54.7,1.7782,4.8
191.0,0.8,877.2,-999.0,49.3,1077.2,65.1,1347.1,463.2,29.7,48.3,3.0493,4.5
192.0,1.0,979.2,-999.0,235.3,851.2,120.1,959.1,1048.2,2.1,129.9,1.4971,3.9
193.0,1.1,873.2,-999.0,143.3,1025.2,72.1,1120.1,685.2,12.6,138.3,30.109,2.8
194.0,-999.0,1130.2,-999.0,-999.0,1063.2,-999.0,1461.1,828.2,15.4,118.1,30.643,4.2
195.0,1.1,882.2,44.1,61.3,1346.2,56.1,1216.1,403.2,16.7,77.3,2.2708,2.5
196.0,1.7,856.2,-999.0,263.3,1041.2,121.1,853.1,781.2,12.6,48.1,1.1386,4.4
197.0,3.7,1173.2,-999.0,298.3,625.2,112.1,1945.1,1358.2,21.4,99.5,37.456,17.2
198.0,2.3,1239.2,-999.0,146.3,779.2,117.1,1702.1,1071.2,28.7,51.7,3.0967,12.5
199.0,4.2,1507.2,-999.0,177.3,608.2,114.1,2107.1,1499.2,19.9,109.1,37.564,20.5
200.0,1.0,949.2,-999.0,117.3,956.2,100.1,1023.1,762.2,4.1,161.7,2.0998,2.9
201.0,0.6,815.2,-999.0,-999.0,1102.2,-999.0,1363.1,513.2,24.6,101.9,46.348,2.0
202.0,0.8,758.2,-999.0,50.3,1070.2,42.1,1365.1,688.2,16.7,113.7,31.987,3.3
203.0,1.0,-999.0,-999.0,122.3,-999.0,100.1,-999.0,-999.0,-999.0,-1998.0,-2997.0,-999.0
204.0,1.8,1096.2,-999.0,254.3,635.2,168.1,1043.1,1127.2,11.6,79.3,1.7116,11.6
205.0,4.5,1408.2,-999.0,811.3,484.2,192.1,1608.1,2056.2,11.8,111.5,2.389,24.3
206.0,1.5,920.2,-999.0,74.3,1046.2,70.1,1550.1,588.2,24.6,76.9,35.107,5.4
207.0,1.3,929.2,-999.0,80.3,942.2,89.1,1454.1,624.2,35.4,34.1,2.9683,7.3
208.0,-999.0,1044.2,-999.0,141.3,903.2,104.1,1042.1,860.2,5.9,148.9,2.1772,3.5
209.0,1.8,1018.2,-999.0,100.3,830.2,99.1,1636.1,914.2,28.3,73.3,41.443,9.3
210.0,1.3,904.2,-999.0,193.3,930.2,114.1,1172.1,805.2,12.4,146.9,3.247,4.8
211.0,3.4,1448.2,-999.0,454.3,447.2,156.1,1655.1,1492.2,21.4,65.9,2.5627,20.9
212.0,2.4,1249.2,-999.0,457.3,593.2,194.1,1198.1,1575.2,14.6,66.9,1.7464,10.5
213.0,-999.0,1325.2,-999.0,-999.0,652.2,-999.0,1969.1,1303.2,16.6,115.9,32.578,18.7
214.0,3.2,1407.2,-999.0,402.3,486.2,137.1,1596.1,1521.2,17.8,126.7,38.287,14.0
215.0,0.5,813.2,-999.0,91.3,1327.2,65.1,1108.1,710.2,21.8,66.9,2.6635,2.7
216.0,4.0,1172.2,-999.0,580.3,621.2,193.1,1461.1,1243.2,10.4,142.3,2.7634,15.3
217.0,2.5,1223.2,308.1,164.3,818.2,112.1,1678.1,1198.2,19.4,68.5,2.3698,12.7
218.0,4.2,1518.2,584.1,314.3,589.2,122.1,2101.1,1703.2,16.0,97.1,2.7112,23.4
219.0,0.3,715.2,-999.0,-999.0,1791.2,-999.0,559.1,227.2,0.2,80.1,0.8497,0.2
220.0,4.3,1435.2,-999.0,664.3,544.2,86.1,2140.1,1467.2,20.0,148.7,51.349,23.4
221.0,0.7,904.2,-999.0,81.3,968.2,54.1,1326.1,824.2,19.9,134.5,46.066,3.0
222.0,1.4,1050.2,-999.0,162.3,732.2,69.1,1363.1,982.2,17.9,133.9,40.492,7.6
223.0,0.9,879.2,-999.0,83.3,1023.2,50.1,1288.1,612.2,18.3,149.5,46.423,2.9
224.0,2.4,1050.2,-999.0,305.3,748.2,117.1,1402.1,1153.2,26.3,48.9,2.5522,13.0
225.0,1.2,968.2,-999.0,47.3,891.2,58.1,1727.1,788.2,17.6,158.3,47.227,6.6
226.0,5.1,1332.2,-999.0,387.3,523.2,134.1,2394.1,1660.2,20.7,95.5,34.444,30.2
227.0,2.7,1410.2,-999.0,548.3,459.2,155.1,1701.1,1587.2,14.5,127.7,31.363,19.3
228.0,2.6,939.2,-999.0,297.3,814.2,142.1,870.1,793.2,1.5,76.1,0.8845,7.4
229.0,1.5,985.2,-999.0,89.3,918.2,90.1,1540.1,737.2,36.4,35.1,31.333,8.5
230.0,1.1,904.2,-999.0,-999.0,820.2,-999.0,1319.1,852.2,15.4,158.1,40.915,5.5
231.0,2.2,1262.2,-999.0,716.3,587.2,215.1,1219.1,1577.2,8.5,73.1,1.3105,16.9
232.0,-999.0,1033.2,-999.0,-999.0,969.2,-999.0,1526.1,864.2,16.9,122.1,34.897,6.0
233.0,1.0,888.2,40.1,46.3,1396.2,58.1,1156.1,417.2,10.7,96.1,1.9405,2.2
234.0,2.1,-999.0,-999.0,149.3,-999.0,116.1,-999.0,-999.0,-999.0,-1998.0,-2997.0,-999.0
235.0,1.6,914.2,-999.0,93.3,972.2,82.1,1583.1,703.2,22.4,89.9,36.019,6.7
236.0,0.7,918.2,-999.0,114.3,1062.2,92.1,817.1,712.2,6.2,87.3,1.3387,1.6
237.0,5.1,1479.2,680.1,259.3,631.2,144.1,1995.1,1579.2,14.8,94.1,2.4445,21.7
238.0,0.8,914.2,-999.0,69.3,912.2,69.1,1530.1,807.2,20.6,98.7,3.628,5.9
239.0,1.9,1058.2,-999.0,165.3,794.2,132.1,1622.1,931.2,40.0,31.7,3.523,11.3
240.0,2.2,-999.0,-999.0,115.3,-999.0,91.1,-999.0,-999.0,-999.0,-1998.0,-2997.0,-999.0
241.0,2.9,1157.2,-999.0,370.3,623.2,113.1,1675.1,1157.2,19.7,139.5,47.125,14.5
242.0,3.6,-999.0,-999.0,521.3,-999.0,164.1,-999.0,-999.0,-999.0,-1998.0,-2997.0,-999.0
243.0,1.7,917.2,-999.0,248.3,972.2,163.1,787.1,670.2,5.1,62.3,0.919,3.9
244.0,0.7,869.2,-999.0,-999.0,1001.2,-999.0,1565.1,674.2,25.7,127.1,61.798,2.4
